season,week,game_id,home_team,away_team,home_score,away_score,roof,surface,temp,wind,home_total_yards,home_turnovers,home_touchdowns,home_epa_per_play,home_scoring_efficiency,home_completion_pct,away_total_yards,away_turnovers,away_touchdowns,away_epa_per_play,away_scoring_efficiency,away_completion_pct
2007,5,2007_05_BAL_SF,SF,BAL,7,9,outdoors,grass,63.0,3.0,163.0,1.0,1.0,-0.15091,2.439,0.5455,315.0,0.0,0.0,-0.046101,0.0,0.6744
2007,5,2007_05_CHI_GB,GB,CHI,20,27,outdoors,grass,79.0,5.0,439.0,4.0,2.0,-0.012008,3.1746,0.7073,285.0,2.0,3.0,0.1199,5.0,0.5556
2007,5,2007_05_DAL_BUF,BUF,DAL,24,25,outdoors,astroplay,73.0,11.0,229.0,1.0,1.0,-0.149833,1.7241,0.6765,385.0,6.0,4.0,-0.09563,5.4795,0.5686
2007,6,2007_06_STL_BAL,BAL,STL,22,3,outdoors,sportturf,68.0,8.0,248.0,2.0,1.0,-0.114047,1.5873,0.5625,,,,,,
2007,6,2007_06_MIN_CHI,CHI,MIN,31,34,outdoors,grass,55.0,5.0,458.0,4.0,3.0,0.093682,4.2857,0.5652,444.0,0.0,5.0,0.156678,7.4627,0.375
2007,6,2007_06_MIA_CLE,CLE,MIA,41,31,outdoors,grass,58.0,0.0,384.0,1.0,5.0,0.253097,8.1967,0.6923,356.0,2.0,4.0,0.146552,5.8824,0.5333
2007,6,2007_06_WAS_GB,GB,WAS,17,14,outdoors,grass,46.0,7.0,225.0,2.0,1.0,-0.234288,1.6949,0.4872,304.0,3.0,3.0,-0.236765,4.3478,0.525
2007,6,2007_06_HOU_JAX,JAX,HOU,37,17,outdoors,grass,81.0,14.0,457.0,2.0,4.0,0.213847,6.5574,0.6286,392.0,4.0,2.0,-0.022454,2.8571,0.6667
2007,6,2007_06_CIN_KC,KC,CIN,27,20,outdoors,grass,68.0,12.0,354.0,2.0,3.0,0.001392,4.0541,0.625,373.0,3.0,2.0,-0.063715,3.0769,0.5532
2007,6,2007_06_PHI_NYJ,NYJ,PHI,9,16,outdoors,fieldturf,62.0,12.0,267.0,1.0,0.0,-0.12519,0.0,0.4583,413.0,1.0,1.0,0.01773,1.5152,0.5789
2007,6,2007_06_TEN_TB,TB,TEN,13,10,outdoors,grass,81.0,10.0,304.0,0.0,1.0,0.029694,2.1739,0.6452,317.0,3.0,1.0,0.002313,1.4286,0.5676
2007,6,2007_06_CAR_ARI,ARI,CAR,10,25,closed,grass,,,257.0,5.0,1.0,-0.282329,1.8519,0.5,374.0,0.0,2.0,-0.022723,3.0303,0.5556
2007,6,2007_06_NE_DAL,DAL,NE,27,48,outdoors,fieldturf,85.0,0.0,283.0,1.0,2.0,0.019194,4.3478,0.5806,448.0,1.0,7.0,0.26631,8.9744,0.6327
2007,6,2007_06_OAK_SD,SD,OAK,28,14,outdoors,grass,73.0,8.0,,,,,,,,,,,,
2007,6,2007_06_NO_SEA,SEA,NO,17,28,outdoors,fieldturf,68.0,4.0,425.0,2.0,3.0,-0.043308,4.3478,0.5417,367.0,1.0,3.0,0.104638,4.3478,0.6944
2007,6,2007_06_NYG_ATL,ATL,NYG,10,31,dome,fieldturf,,,284.0,1.0,1.0,-0.192831,1.7241,0.4186,491.0,3.0,4.0,0.126587,5.3333,0.675
2007,7,2007_07_BAL_BUF,BUF,BAL,19,14,outdoors,astroplay,66.0,16.0,242.0,1.0,1.0,-0.043037,1.7857,0.4783,308.0,1.0,2.0,-0.091511,3.2258,0.5526
2007,7,2007_07_TB_DET,DET,TB,23,16,dome,fieldturf,,,278.0,0.0,2.0,0.085911,4.2553,0.6957,422.0,2.0,2.0,-0.003953,2.5641,0.7551
2007,7,2007_07_TEN_HOU,HOU,TEN,36,38,closed,grass,,,335.0,5.0,4.0,-0.11766,6.7797,0.5745,422.0,3.0,3.0,-0.027455,3.6585,0.5814
2007,7,2007_07_NE_MIA,MIA,NE,28,49,outdoors,grass,85.0,12.0,382.0,2.0,3.0,0.090811,4.2857,0.6,443.0,1.0,8.0,0.492154,15.6863,0.7586
2007,7,2007_07_ATL_NO,NO,ATL,22,16,dome,fieldturf,,,312.0,1.0,3.0,-0.021994,5.2632,0.6471,334.0,0.0,1.0,-0.045687,1.4706,0.6136
2007,7,2007_07_SF_NYG,NYG,SF,33,15,outdoors,fieldturf,69.0,5.0,279.0,1.0,3.0,0.042684,4.6875,0.5455,267.0,4.0,3.0,-0.16159,4.7619,0.5111
2007,7,2007_07_ARI_WAS,WAS,ARI,21,19,outdoors,grass,75.0,9.0,160.0,1.0,2.0,-0.204893,4.2553,0.6316,364.0,3.0,4.0,-0.148641,5.4054,0.6364
2007,7,2007_07_NYJ_CIN,CIN,NYJ,38,31,outdoors,fieldturf,77.0,13.0,395.0,1.0,4.0,0.191215,6.3492,0.6364,344.0,2.0,4.0,0.139579,6.6667,0.5882
2007,7,2007_07_KC_OAK,OAK,KC,10,12,outdoors,grass,68.0,10.0,,,,,,,290.0,2.0,1.0,-0.061815,1.4925,0.4571
2007,7,2007_07_MIN_DAL,DAL,MIN,24,14,outdoors,fieldturf,88.0,0.0,381.0,2.0,3.0,-0.068523,4.2254,0.7381,196.0,1.0,2.0,-0.215134,4.0816,0.2727
2007,7,2007_07_CHI_PHI,PHI,CHI,16,19,outdoors,grass,75.0,7.0,334.0,0.0,1.0,0.06419,1.6129,0.5676,386.0,0.0,1.0,0.128597,1.5385,0.6429
2007,7,2007_07_STL_SEA,SEA,STL,33,6,outdoors,fieldturf,52.0,11.0,289.0,1.0,3.0,0.013688,4.4118,0.5,,,,,,
2007,7,2007_07_PIT_DEN,DEN,PIT,31,28,outdoors,grass,37.0,10.0,324.0,2.0,3.0,0.142104,5.4545,0.7097,379.0,3.0,5.0,0.121514,7.6923,0.6154
2007,7,2007_07_IND_JAX,JAX,IND,7,29,outdoors,grass,77.0,8.0,226.0,3.0,1.0,-0.114319,1.5152,0.4359,384.0,1.0,3.0,0.188455,4.1667,0.5897
2007,8,2007_08_IND_CAR,CAR,IND,7,31,outdoors,grass,69.0,8.0,293.0,2.0,1.0,-0.098668,1.2821,0.6222,395.0,2.0,4.0,0.231513,6.25,0.4688
2007,8,2007_08_DET_CHI,CHI,DET,7,16,outdoors,grass,51.0,5.0,255.0,4.0,1.0,-0.14893,1.6129,0.5238,365.0,1.0,1.0,-0.000842,1.4925,0.6154
2007,8,2007_08_PIT_CIN,CIN,PIT,13,24,outdoors,fieldturf,55.0,7.0,296.0,1.0,1.0,0.128634,1.9231,0.7419,390.0,1.0,3.0,0.302616,5.0,0.7037
2007,8,2007_08_NYG_MIA,MIA,NYG,10,13,outdoors,grass,59.0,15.0,254.0,2.0,1.0,-0.066305,1.6949,0.5484,238.0,1.0,1.0,-0.021401,1.6667,0.3478
2007,8,2007_08_PHI_MIN,MIN,PHI,16,23,dome,fieldturf,,,256.0,0.0,1.0,-0.036742,1.6949,0.4667,385.0,0.0,2.0,0.082355,3.125,0.6053
2007,8,2007_08_CLE_STL,STL,CLE,20,27,dome,fieldturf,,,,,,,,,368.0,0.0,3.0,0.230377,5.3571,0.6667
2007,8,2007_08_OAK_TEN,TEN,OAK,13,9,outdoors,grass,58.0,16.0,218.0,0.0,1.0,-0.089409,1.9231,0.375,,,,,,
2007,8,2007_08_BUF_NYJ,NYJ,BUF,3,13,outdoors,fieldturf,56.0,16.0,254.0,3.0,0.0,-0.172527,0.0,0.5143,347.0,1.0,1.0,-0.002101,1.6129,0.6296
2007,8,2007_08_HOU_SD,SD,HOU,35,10,outdoors,grass,78.0,8.0,,,,,,,367.0,5.0,3.0,-0.162178,4.0,0.6087
